Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,0.00000E+000,11.18000E-012,140.67600E-003
1,1,2,200.00000E-003,10.22000E-012,286.29600E-003
1,1,3,400.00000E-003,14.63000E-012,431.41700E-003
1,1,4,600.00000E-003,35.83000E-012,576.61100E-003
1,1,5,800.00000E-003,57.32000E-012,721.89500E-003
1,1,6,1.00000E+000,75.35000E-012,867.06000E-003
1,1,7,1.20000E+000,88.57000E-012,1.01305E+000
1,1,8,1.40000E+000,117.24000E-012,1.15819E+000
1,1,9,1.60000E+000,121.18000E-012,1.30331E+000
1,1,10,1.80000E+000,163.71000E-012,1.44856E+000
1,1,11,2.00000E+000,185.78000E-012,1.59368E+000
1,1,12,2.20000E+000,206.61000E-012,1.73880E+000
1,1,13,2.40000E+000,218.98000E-012,1.88397E+000
1,1,14,2.60000E+000,230.39000E-012,2.02918E+000
1,1,15,2.80000E+000,276.13000E-012,2.17428E+000
1,1,16,3.00000E+000,287.56000E-012,2.31968E+000
1,1,17,3.20000E+000,308.95000E-012,2.46492E+000
1,1,18,3.40000E+000,356.68000E-012,2.61033E+000
1,1,19,3.60000E+000,374.07000E-012,2.75634E+000
1,1,20,3.80000E+000,405.35000E-012,2.90143E+000
1,1,21,4.00000E+000,425.86000E-012,3.04660E+000
1,1,22,4.20000E+000,452.90000E-012,3.19181E+000
1,1,23,4.40000E+000,503.52000E-012,3.33692E+000
1,1,24,4.60000E+000,534.27000E-012,3.48204E+000
1,1,25,4.80000E+000,535.74000E-012,3.62716E+000
1,1,26,5.00000E+000,544.12000E-012,3.77231E+000
1,1,27,5.20000E+000,614.49000E-012,3.91744E+000
1,1,28,5.40000E+000,632.38000E-012,4.06264E+000
1,1,29,5.60000E+000,690.49000E-012,4.20779E+000
1,1,30,5.80000E+000,717.00000E-012,4.35470E+000
1,1,31,6.00000E+000,751.85000E-012,4.50067E+000
1,1,32,6.20000E+000,820.35000E-012,4.64579E+000
1,1,33,6.40000E+000,832.12000E-012,4.79089E+000
1,1,34,6.60000E+000,875.93000E-012,4.93605E+000
1,1,35,6.80000E+000,930.41000E-012,5.08125E+000
1,1,36,7.00000E+000,945.57000E-012,5.22638E+000
1,1,37,7.20000E+000,1.01593E-009,5.37153E+000
1,1,38,7.40000E+000,1.03362E-009,5.51670E+000
1,1,39,7.60000E+000,1.08005E-009,5.66218E+000
1,1,40,7.80000E+000,1.11617E-009,5.80736E+000
1,1,41,8.00000E+000,1.10408E-009,5.95251E+000
1,1,42,8.20000E+000,1.11837E-009,6.09768E+000
1,1,43,8.40000E+000,1.15681E-009,6.24277E+000
1,1,44,8.60000E+000,1.17190E-009,6.38789E+000
1,1,45,8.80000E+000,1.24149E-009,6.53301E+000
1,1,46,9.00000E+000,1.29378E-009,6.67817E+000
1,1,47,9.20000E+000,1.31726E-009,6.82325E+000
1,1,48,9.40000E+000,1.35215E-009,6.96953E+000
1,1,49,9.60000E+000,1.35058E-009,7.11496E+000
1,1,50,9.80000E+000,1.42555E-009,7.26068E+000
1,1,51,10.00000E+000,1.37550E-009,7.40583E+000
1,1,52,9.80000E+000,1.40935E-009,7.55094E+000
1,1,53,9.60000E+000,1.43778E-009,7.69607E+000
1,1,54,9.40000E+000,1.48610E-009,7.84126E+000
1,1,55,9.20000E+000,1.51430E-009,7.98669E+000
1,1,56,9.00000E+000,1.41655E-009,8.13179E+000
1,1,57,8.80000E+000,1.38876E-009,8.27691E+000
1,1,58,8.60000E+000,1.30851E-009,8.42206E+000
1,1,59,8.40000E+000,1.32821E-009,8.56717E+000
1,1,60,8.20000E+000,1.25393E-009,8.71281E+000
1,1,61,8.00000E+000,1.15631E-009,8.85956E+000
1,1,62,7.80000E+000,1.19844E-009,9.00481E+000
1,1,63,7.60000E+000,1.15679E-009,9.14991E+000
1,1,64,7.40000E+000,1.11668E-009,9.29506E+000
1,1,65,7.20000E+000,1.11422E-009,9.44016E+000
1,1,66,7.00000E+000,1.05895E-009,9.58533E+000
1,1,67,6.80000E+000,1.05791E-009,9.73043E+000
1,1,68,6.60000E+000,1.04705E-009,9.87567E+000
1,1,69,6.40000E+000,933.60000E-012,10.02091E+000
1,1,70,6.20000E+000,904.60000E-012,10.16607E+000
1,1,71,6.00000E+000,928.27000E-012,10.31167E+000
1,1,72,5.80000E+000,915.25000E-012,10.45712E+000
1,1,73,5.60000E+000,838.24000E-012,10.60274E+000
1,1,74,5.40000E+000,825.18000E-012,10.74798E+000
1,1,75,5.20000E+000,730.01000E-012,10.89309E+000
1,1,76,5.00000E+000,712.54000E-012,11.03819E+000
1,1,77,4.80000E+000,673.30000E-012,11.18331E+000
1,1,78,4.60000E+000,640.61000E-012,11.32847E+000
1,1,79,4.40000E+000,572.20000E-012,11.47357E+000
1,1,80,4.20000E+000,548.52000E-012,11.61874E+000
1,1,81,4.00000E+000,512.51000E-012,11.76389E+000
1,1,82,3.80000E+000,457.17000E-012,11.91052E+000
1,1,83,3.60000E+000,480.65000E-012,12.05733E+000
1,1,84,3.40000E+000,442.92000E-012,12.20246E+000
1,1,85,3.20000E+000,393.61000E-012,12.34758E+000
1,1,86,3.00000E+000,383.48000E-012,12.49290E+000
1,1,87,2.80000E+000,325.74000E-012,12.63803E+000
1,1,88,2.60000E+000,283.76000E-012,12.78318E+000
1,1,89,2.40000E+000,260.66000E-012,12.92828E+000
1,1,90,2.20000E+000,221.74000E-012,13.07349E+000
1,1,91,2.00000E+000,198.06000E-012,13.22019E+000
