Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,0.00000E+000,1.71000E-012,140.75600E-003
1,1,2,200.00000E-003,55.50000E-012,286.41600E-003
1,1,3,400.00000E-003,166.60000E-012,431.54200E-003
1,1,4,600.00000E-003,403.43000E-012,576.65500E-003
1,1,5,800.00000E-003,739.31000E-012,722.42400E-003
1,1,6,1.00000E+000,1.15022E-009,868.89500E-003
1,1,7,1.20000E+000,1.72519E-009,1.01442E+000
1,1,8,1.40000E+000,2.47264E-009,1.15960E+000
1,1,9,1.60000E+000,3.20612E-009,1.30473E+000
1,1,10,1.80000E+000,4.21488E-009,1.44991E+000
1,1,11,2.00000E+000,5.22232E-009,1.59501E+000
1,1,12,2.20000E+000,6.30348E-009,1.74014E+000
1,1,13,2.40000E+000,7.25755E-009,1.88528E+000
1,1,14,2.60000E+000,8.77101E-009,2.03145E+000
1,1,15,2.80000E+000,9.92550E-009,2.17115E+000
1,1,16,3.00000E+000,11.36920E-009,2.29315E+000
1,1,17,3.20000E+000,12.98690E-009,2.43110E+000
1,1,18,3.40000E+000,14.31960E-009,2.55309E+000
1,1,19,3.60000E+000,15.87690E-009,2.67504E+000
1,1,20,3.80000E+000,17.27560E-009,2.79744E+000
1,1,21,4.00000E+000,19.03160E-009,2.91940E+000
1,1,22,4.20000E+000,20.42370E-009,3.04134E+000
1,1,23,4.40000E+000,21.48610E-009,3.16332E+000
1,1,24,4.60000E+000,23.10110E-009,3.28526E+000
1,1,25,4.80000E+000,24.84420E-009,3.40717E+000
1,1,26,4.99999E+000,25.41340E-009,3.52910E+000
1,1,27,5.20000E+000,27.17440E-009,3.65106E+000
1,1,28,5.40000E+000,27.97670E-009,3.77302E+000
1,1,29,5.60000E+000,29.66170E-009,3.89497E+000
1,1,30,5.80000E+000,30.85810E-009,4.01692E+000
1,1,31,5.99999E+000,33.40220E-009,4.13983E+000
1,1,32,6.20000E+000,33.84800E-009,4.26180E+000
1,1,33,6.40000E+000,34.81310E-009,4.38384E+000
1,1,34,6.60000E+000,36.44550E-009,4.50585E+000
1,1,35,6.80000E+000,37.91910E-009,4.62802E+000
1,1,36,7.00000E+000,38.20220E-009,4.75001E+000
1,1,37,7.19999E+000,40.76780E-009,4.87197E+000
1,1,38,7.40000E+000,41.72730E-009,4.99393E+000
1,1,39,7.60000E+000,43.79920E-009,5.11588E+000
1,1,40,7.80000E+000,45.20680E-009,5.23784E+000
1,1,41,8.00000E+000,46.23690E-009,5.35981E+000
1,1,42,8.20000E+000,48.60960E-009,5.48181E+000
1,1,43,8.40000E+000,49.00990E-009,5.60377E+000
1,1,44,8.60000E+000,48.90210E-009,5.74300E+000
1,1,45,8.80000E+000,51.79420E-009,5.88222E+000
1,1,46,9.00000E+000,51.08960E-009,6.04061E+000
1,1,47,9.20000E+000,52.48340E-009,6.17982E+000
1,1,48,9.40000E+000,52.99290E-009,6.31910E+000
1,1,49,9.60000E+000,52.12170E-009,6.45836E+000
1,1,50,9.80000E+000,54.10330E-009,6.60097E+000
1,1,51,9.99999E+000,54.93210E-009,6.74028E+000
1,1,52,9.80000E+000,54.70360E-009,6.86340E+000
1,1,53,9.60001E+000,52.81760E-009,6.98535E+000
1,1,54,9.40000E+000,51.93920E-009,7.10730E+000
1,1,55,9.20000E+000,51.12030E-009,7.24751E+000
1,1,56,8.99999E+000,51.72190E-009,7.36946E+000
1,1,57,8.79999E+000,51.51260E-009,7.49145E+000
1,1,58,8.60000E+000,49.88930E-009,7.61339E+000
1,1,59,8.39999E+000,49.43640E-009,7.73534E+000
1,1,60,8.20000E+000,48.35590E-009,7.85730E+000
1,1,61,8.00000E+000,46.48220E-009,7.97923E+000
1,1,62,7.80000E+000,44.60230E-009,8.10116E+000
1,1,63,7.60000E+000,44.37480E-009,8.22315E+000
1,1,64,7.40000E+000,43.22970E-009,8.34515E+000
1,1,65,7.19999E+000,42.29480E-009,8.46712E+000
1,1,66,7.00000E+000,40.75140E-009,8.58911E+000
1,1,67,6.80000E+000,38.15670E-009,8.71146E+000
1,1,68,6.60000E+000,37.09970E-009,8.83481E+000
1,1,69,6.39999E+000,35.97440E-009,8.95678E+000
1,1,70,6.20000E+000,34.72060E-009,9.07876E+000
1,1,71,5.99999E+000,33.99060E-009,9.20091E+000
1,1,72,5.80000E+000,33.43290E-009,9.32427E+000
1,1,73,5.60000E+000,31.92170E-009,9.44620E+000
1,1,74,5.40000E+000,30.36660E-009,9.56816E+000
1,1,75,5.20000E+000,29.30340E-009,9.69011E+000
1,1,76,5.00000E+000,27.98600E-009,9.81211E+000
1,1,77,4.80000E+000,26.74920E-009,9.93403E+000
1,1,78,4.60000E+000,24.97400E-009,10.05597E+000
1,1,79,4.40000E+000,24.18140E-009,10.17793E+000
1,1,80,4.20000E+000,22.37730E-009,10.29999E+000
1,1,81,4.00000E+000,20.55040E-009,10.42194E+000
1,1,82,3.80000E+000,19.00820E-009,10.54389E+000
1,1,83,3.60000E+000,18.05050E-009,10.66667E+000
1,1,84,3.40000E+000,16.35310E-009,10.78864E+000
1,1,85,3.20000E+000,15.06440E-009,10.91063E+000
1,1,86,3.00000E+000,13.75070E-009,11.03257E+000
1,1,87,2.80000E+000,12.21140E-009,11.15477E+000
1,1,88,2.60000E+000,10.93920E-009,11.27677E+000
1,1,89,2.40000E+000,9.45590E-009,11.39872E+000
1,1,90,2.20000E+000,8.14050E-009,11.53559E+000
1,1,91,2.00000E+000,6.86420E-009,11.68069E+000
1,1,92,1.80000E+000,5.65963E-009,11.82581E+000
1,1,93,1.60000E+000,4.32452E-009,11.97140E+000
1,1,94,1.40000E+000,3.16311E-009,12.11923E+000
1,1,95,1.20000E+000,2.20533E-009,12.26464E+000
1,1,96,1.00000E+000,1.41621E-009,12.40977E+000
1,1,97,800.00000E-003,842.23000E-012,12.55489E+000
1,1,98,600.00000E-003,427.28000E-012,12.70010E+000
1,1,99,400.00000E-003,177.81000E-012,12.84518E+000
1,1,100,200.00000E-003,57.77000E-012,12.99033E+000
1,1,101,0.00000E+000,-13.18000E-012,13.13580E+000
1,1,102,-200.00000E-003,-160.40000E-012,13.28162E+000
1,1,103,-400.00000E-003,-846.67000E-012,13.42674E+000
1,1,104,-600.00000E-003,-2.76470E-009,13.57187E+000
1,1,105,-800.00000E-003,-6.43818E-009,13.71699E+000
1,1,106,-1.00000E+000,-11.95780E-009,13.85627E+000
1,1,107,-1.20001E+000,-17.88690E-009,13.97823E+000
1,1,108,-1.40000E+000,-25.28530E-009,14.10017E+000
1,1,109,-1.60000E+000,-33.29380E-009,14.22210E+000
1,1,110,-1.80001E+000,-41.68790E-009,14.36084E+000
1,1,111,-2.00000E+000,-51.47440E-009,14.48279E+000
1,1,112,-2.20000E+000,-60.95900E-009,14.62448E+000
1,1,113,-2.40000E+000,-70.84130E-009,14.78013E+000
1,1,114,-2.60000E+000,-80.85900E-009,14.90498E+000
1,1,115,-2.80000E+000,-94.78600E-009,15.02692E+000
1,1,116,-3.00000E+000,-107.59700E-009,15.14895E+000
1,1,117,-3.20000E+000,-120.54000E-009,15.27091E+000
1,1,118,-3.40000E+000,-128.32200E-009,15.39288E+000
1,1,119,-3.60000E+000,-140.62800E-009,15.51484E+000
1,1,120,-3.80000E+000,-155.77200E-009,15.63682E+000
1,1,121,-4.00000E+000,-179.10300E-009,15.75877E+000
1,1,122,-4.20000E+000,-199.14800E-009,15.88089E+000
1,1,123,-4.40000E+000,-212.87800E-009,16.00287E+000
1,1,124,-4.60000E+000,-232.39700E-009,16.12484E+000
1,1,125,-4.80000E+000,-252.43300E-009,16.24687E+000
1,1,126,-5.00000E+000,-270.98000E-009,16.36940E+000
1,1,127,-5.20000E+000,-292.26800E-009,16.49136E+000
1,1,128,-5.40000E+000,-316.07600E-009,16.61332E+000
1,1,129,-5.60000E+000,-331.41800E-009,16.73534E+000
1,1,130,-5.80000E+000,-357.38100E-009,16.85731E+000
1,1,131,-6.00000E+000,-376.58700E-009,16.97928E+000
1,1,132,-6.20000E+000,-404.08700E-009,17.10122E+000
1,1,133,-6.40000E+000,-402.22800E-009,17.22316E+000
1,1,134,-6.60000E+000,-427.03100E-009,17.34520E+000
1,1,135,-6.80000E+000,-482.56300E-009,17.46713E+000
1,1,136,-7.00000E+000,-514.20100E-009,17.58907E+000
1,1,137,-7.20000E+000,-546.04200E-009,17.71123E+000
1,1,138,-7.40000E+000,-565.72600E-009,17.83321E+000
