Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,0.00000E+000,42.82000E-012,140.68800E-003
1,1,2,200.00000E-003,4.97736E-009,286.56800E-003
1,1,3,400.00000E-003,10.61650E-009,425.79100E-003
1,1,4,600.00000E-003,17.12160E-009,547.73400E-003
1,1,5,800.00000E-003,23.64690E-009,686.86800E-003
1,1,6,999.99000E-003,30.44150E-009,808.92900E-003
1,1,7,1.20000E+000,36.99950E-009,930.87000E-003
1,1,8,1.40000E+000,44.13430E-009,1.05285E+000
1,1,9,1.60000E+000,50.42650E-009,1.17493E+000
1,1,10,1.80000E+000,56.76250E-009,1.31414E+000
1,1,11,2.00000E+000,63.03290E-009,1.45336E+000
1,1,12,2.20000E+000,70.17280E-009,1.59253E+000
1,1,13,2.39999E+000,77.92660E-009,1.73187E+000
1,1,14,2.60000E+000,85.36000E-009,1.86046E+000
1,1,15,2.80000E+000,92.24500E-009,1.98242E+000
1,1,16,3.00000E+000,97.97400E-009,2.10438E+000
1,1,17,3.20000E+000,103.73400E-009,2.22633E+000
1,1,18,3.40000E+000,109.98000E-009,2.34828E+000
1,1,19,3.60000E+000,114.96000E-009,2.47024E+000
1,1,20,3.80000E+000,122.59800E-009,2.59220E+000
1,1,21,4.00000E+000,128.88000E-009,2.71422E+000
1,1,22,4.20000E+000,134.22300E-009,2.83622E+000
1,1,23,4.40000E+000,139.84400E-009,2.95820E+000
1,1,24,4.60000E+000,145.82700E-009,3.08018E+000
1,1,25,4.80000E+000,152.76100E-009,3.20217E+000
1,1,26,5.00000E+000,158.55500E-009,3.32420E+000
1,1,27,5.20000E+000,164.22900E-009,3.44614E+000
1,1,28,5.40000E+000,170.73100E-009,3.56808E+000
1,1,29,5.60000E+000,175.74200E-009,3.69003E+000
1,1,30,5.80000E+000,182.43900E-009,3.81204E+000
1,1,31,6.00000E+000,188.45900E-009,3.93398E+000
1,1,32,6.20000E+000,192.62900E-009,4.05592E+000
1,1,33,6.40000E+000,199.06200E-009,4.17784E+000
1,1,34,6.60000E+000,205.41100E-009,4.29985E+000
1,1,35,6.80000E+000,210.50800E-009,4.42181E+000
