Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,0.00000E+000,3.66000E-012,140.61800E-003
1,1,2,200.00000E-003,662.13000E-012,286.06800E-003
1,1,3,400.00000E-003,1.62409E-009,431.19900E-003
1,1,4,600.00000E-003,2.77780E-009,576.29000E-003
1,1,5,800.00000E-003,3.92610E-009,721.53500E-003
1,1,6,1.00000E+000,5.23191E-009,867.65700E-003
1,1,7,1.20000E+000,6.11053E-009,1.01348E+000
1,1,8,1.40000E+000,7.25758E-009,1.15887E+000
1,1,9,1.60000E+000,8.74175E-009,1.30403E+000
1,1,10,1.80000E+000,9.77740E-009,1.44333E+000
1,1,11,2.00000E+000,11.25860E-009,1.56526E+000
1,1,12,2.19999E+000,12.16260E-009,1.68720E+000
1,1,13,2.40000E+000,13.50160E-009,1.80922E+000
1,1,14,2.60000E+000,14.69700E-009,1.94757E+000
1,1,15,2.80000E+000,15.44770E-009,2.06950E+000
1,1,16,3.00000E+000,16.29160E-009,2.19190E+000
1,1,17,3.19999E+000,17.47390E-009,2.31388E+000
1,1,18,3.40000E+000,17.66470E-009,2.43587E+000
1,1,19,3.60000E+000,19.52340E-009,2.55785E+000
1,1,20,3.79999E+000,20.05240E-009,2.67982E+000
1,1,21,4.00000E+000,20.78760E-009,2.80177E+000
1,1,22,4.19999E+000,32.00070E-009,2.92371E+000
1,1,23,4.40000E+000,32.72620E-009,3.04565E+000
1,1,24,4.60000E+000,32.21320E-009,3.16762E+000
1,1,25,4.79999E+000,34.71910E-009,3.28961E+000
1,1,26,4.99998E+000,37.07490E-009,3.41156E+000
1,1,27,5.19999E+000,37.56670E-009,3.53350E+000
1,1,28,5.40000E+000,38.76630E-009,3.65548E+000
1,1,29,5.59999E+000,40.76130E-009,3.77743E+000
1,1,30,5.80001E+000,40.29960E-009,3.89936E+000
1,1,31,6.00000E+000,42.21270E-009,4.02162E+000
1,1,32,6.19999E+000,37.83350E-009,4.14476E+000
1,1,33,6.40000E+000,42.36650E-009,4.26715E+000
1,1,34,6.60000E+000,39.62030E-009,4.38920E+000
1,1,35,6.79998E+000,40.53310E-009,4.51117E+000
1,1,36,6.99999E+000,31.09900E-009,4.63353E+000
1,1,37,7.19999E+000,31.79230E-009,4.75579E+000
1,1,38,7.40000E+000,32.49990E-009,4.87773E+000
1,1,39,7.60000E+000,30.99320E-009,4.99968E+000
1,1,40,7.79999E+000,32.67270E-009,5.12162E+000
1,1,41,7.99999E+000,34.70740E-009,5.24361E+000
1,1,42,8.20000E+000,33.36210E-009,5.36555E+000
1,1,43,8.40000E+000,35.09490E-009,5.48749E+000
1,1,44,8.60000E+000,36.11230E-009,5.60945E+000
1,1,45,8.80000E+000,37.22040E-009,5.73145E+000
1,1,46,9.00000E+000,35.56610E-009,5.85340E+000
1,1,47,9.19999E+000,37.70600E-009,5.97538E+000
1,1,48,9.40000E+000,39.33420E-009,6.09796E+000
1,1,49,9.59999E+000,39.88160E-009,6.22024E+000
1,1,50,9.80002E+000,41.23940E-009,6.34219E+000
1,1,51,10.00000E+000,47.97860E-009,6.46420E+000
1,1,52,9.79996E+000,49.11570E-009,6.58618E+000
1,1,53,9.60001E+000,45.07180E-009,6.70954E+000
1,1,54,9.40001E+000,41.39080E-009,6.83152E+000
1,1,55,9.20001E+000,42.26130E-009,6.95346E+000
1,1,56,9.00000E+000,38.99180E-009,7.07540E+000
1,1,57,8.79999E+000,38.53570E-009,7.19733E+000
1,1,58,8.59998E+000,40.37740E-009,7.31939E+000
1,1,59,8.40001E+000,39.56900E-009,7.44135E+000
1,1,60,8.19998E+000,38.37540E-009,7.56329E+000
1,1,61,8.00000E+000,36.90960E-009,7.68522E+000
1,1,62,7.80001E+000,36.60000E-009,7.80715E+000
1,1,63,7.59998E+000,37.15580E-009,7.92910E+000
1,1,64,7.39999E+000,36.68560E-009,8.05108E+000
1,1,65,7.20000E+000,35.65480E-009,8.17305E+000
1,1,66,6.99999E+000,33.14030E-009,8.29534E+000
1,1,67,6.80001E+000,33.88230E-009,8.41727E+000
1,1,68,6.60001E+000,31.03410E-009,8.53952E+000
1,1,69,6.40000E+000,29.01290E-009,8.66147E+000
1,1,70,6.20000E+000,28.28910E-009,8.78341E+000
1,1,71,5.99999E+000,28.54800E-009,8.90534E+000
1,1,72,5.80000E+000,28.87690E-009,9.02729E+000
1,1,73,5.59999E+000,27.76770E-009,9.14924E+000
1,1,74,5.40000E+000,27.51420E-009,9.27120E+000
1,1,75,5.20000E+000,27.99790E-009,9.39321E+000
1,1,76,4.99999E+000,27.56310E-009,9.51515E+000
1,1,77,4.80000E+000,25.53610E-009,9.63710E+000
1,1,78,4.60001E+000,24.75340E-009,9.75906E+000
1,1,79,4.39999E+000,22.56630E-009,9.88127E+000
1,1,80,4.20001E+000,21.87530E-009,10.00320E+000
1,1,81,4.00000E+000,20.59260E-009,10.12513E+000
1,1,82,3.79999E+000,20.24380E-009,10.24714E+000
1,1,83,3.59999E+000,18.59210E-009,10.37024E+000
1,1,84,3.40000E+000,17.27370E-009,10.49218E+000
1,1,85,3.20000E+000,17.41190E-009,10.61411E+000
1,1,86,3.00000E+000,15.05740E-009,10.73611E+000
1,1,87,2.80000E+000,13.64960E-009,10.85805E+000
1,1,88,2.59999E+000,12.28190E-009,10.98004E+000
1,1,89,2.40000E+000,11.44030E-009,11.10201E+000
1,1,90,2.19999E+000,10.77250E-009,11.22405E+000
1,1,91,2.00000E+000,10.04650E-009,11.34601E+000
1,1,92,1.80000E+000,8.09462E-009,11.48289E+000
1,1,93,1.60000E+000,7.40686E-009,11.64635E+000
1,1,94,1.40000E+000,6.60311E-009,11.79146E+000
1,1,95,1.20000E+000,5.75302E-009,11.93656E+000
