Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,1.00000E+000,36.35000E-012,122.59500E-003,-60.00000E+000,-2.37100E-009,8.98200E-003
1,1,2,1.00000E+000,23.24000E-012,243.55500E-003,-59.39700E+000,-16.00000E-012,144.45200E-003
1,1,3,1.00000E+000,14.18000E-012,364.38200E-003,-58.79400E+000,221.00000E-012,265.71400E-003
1,1,4,1.00000E+000,9.92000E-012,485.24500E-003,-58.19100E+000,667.00000E-012,385.87700E-003
1,1,5,1.00000E+000,6.29000E-012,606.04200E-003,-57.58790E+000,256.00000E-012,506.88800E-003
1,1,6,1.00000E+000,5.43000E-012,726.84000E-003,-56.98490E+000,241.00000E-012,627.66500E-003
1,1,7,1.00000E+000,3.25000E-012,847.93600E-003,-56.38190E+000,-1.23500E-009,751.79300E-003
1,1,8,1.00000E+000,4.07000E-012,968.74300E-003,-55.77890E+000,-202.00000E-012,869.63300E-003
1,1,9,1.00000E+000,4.07000E-012,1.08957E+000,-55.17590E+000,-454.00000E-012,990.40800E-003
1,1,10,1.00000E+000,4.29000E-012,1.21039E+000,-54.57290E+000,-720.00000E-012,1.11122E+000
1,1,11,1.00000E+000,4.40000E-012,1.33121E+000,-53.96980E+000,-1.16500E-009,1.23533E+000
1,1,12,1.00000E+000,6.17000E-012,1.45202E+000,-53.36680E+000,-1.01200E-009,1.35616E+000
1,1,13,1.00000E+000,8.26000E-012,1.57304E+000,-52.76380E+000,-854.00000E-012,1.47697E+000
1,1,14,1.00000E+000,13.56000E-012,1.69387E+000,-52.16080E+000,-980.00000E-012,1.59477E+000
1,1,15,1.00000E+000,18.06000E-012,1.81471E+000,-51.55780E+000,-667.00000E-012,1.71558E+000
1,1,16,1.00000E+000,23.49000E-012,1.93551E+000,-50.95480E+000,-658.00000E-012,1.83641E+000
1,1,17,1.00000E+000,31.82000E-012,2.05664E+000,-50.35180E+000,-498.00000E-012,1.95714E+000
1,1,18,1.00000E+000,44.17000E-012,2.17746E+000,-49.74870E+000,31.00000E-012,2.07835E+000
1,1,19,1.00000E+000,56.16000E-012,2.29831E+000,-49.14570E+000,36.00000E-012,2.19918E+000
1,1,20,1.00000E+000,78.23000E-012,2.41921E+000,-48.54270E+000,385.00000E-012,2.32002E+000
1,1,21,1.00000E+000,101.29000E-012,2.54345E+000,-47.93970E+000,973.00000E-012,2.44084E+000
1,1,22,999.99900E-003,134.18000E-012,2.66466E+000,-47.33670E+000,465.00000E-012,2.56839E+000
1,1,23,1.00000E+000,175.57000E-012,2.78543E+000,-46.73370E+000,92.00000E-012,2.68955E+000
1,1,24,1.00000E+000,219.77000E-012,2.90626E+000,-46.13070E+000,991.00000E-012,2.80713E+000
1,1,25,1.00000E+000,279.59000E-012,3.04476E+000,-45.52760E+000,-521.00000E-012,2.93140E+000
1,1,26,1.00000E+000,353.46000E-012,3.16559E+000,-44.92460E+000,1.12200E-009,3.06648E+000
1,1,27,1.00000E+000,435.19000E-012,3.28638E+000,-44.32160E+000,1.01700E-009,3.18722E+000
1,1,28,1.00000E+000,515.92000E-012,3.40719E+000,-43.71860E+000,819.00000E-012,3.30802E+000
1,1,29,1.00000E+000,599.85000E-012,3.54740E+000,-43.11560E+000,-757.00000E-012,3.43211E+000
1,1,30,1.00000E+000,731.35000E-012,3.66828E+000,-42.51260E+000,-694.00000E-012,3.57239E+000
